0,1,2,3,4,5
7956,1524,12520,32511,-20505,-8732
4772,-696,20344,9529,20538,11504
-8828,-1160,19760,9,6558,9014
-4004,-456,11736,6262,10739,21639
-1352,-116,16088,-209,974,1498
472,36,27592,-2977,193,-1798
584,-1384,14256,3679,1380,-1767
376,-684,17668,-857,917,-1496
-96,-460,17120,894,1095,-1627
-464,-168,17624,-121,720,920
-424,-400,17092,-602,644,-967
-492,-436,17320,423,786,-956
-524,-532,17408,640,807,-982
-608,-276,17364,586,666,-785
-408,-140,17412,11,688,-860
-376,-412,17268,-130,710,-1126
-568,-220,17468,517,692,-843
-348,-172,17660,248,820,-975
-292,-72,17532,37,642,-1124
-412,-336,17548,22,588,-941
-424,-380,17568,355,682,-982
-576,-304,17756,173,786,-885
-488,-256,17580,-58,662,-961
-532,-612,17248,802,878,-978
-616,-228,17724,561,692,-765
-644,-604,17452,-268,645,-773
-812,-204,17604,474,746,-124
-564,-340,17444,227,717,-1097
-420,-276,17448,66,686,-1147
-472,-192,17412,-263,671,-904
-452,-196,17448,388,594,-988
-596,-240,17672,415,729,-1029
-656,-332,17392,19,679,-878
-588,-280,17404,387,882,-981
-196,-372,17580,268,658,-931
-476,-44,17696,241,570,-876
-388,-304,17700,-15,615,-810
-384,-108,17420,162,578,-969
-440,-368,17588,229,723,-1048
-452,-104,17476,156,820,-927
-444,-208,17572,184,885,-1229
-436,-436,17816,259,685,-1171
-476,-180,17544,126,724,-1068
-364,-456,17428,142,596,-843
-612,-208,17616,259,768,-925
-260,-384,17704,136,643,-1058
-624,-136,17560,-64,589,-919
-324,-236,17600,-38,692,-938
-488,-372,17500,358,642,-985
-568,-444,17340,295,770,-881
-664,-364,17584,112,615,-805
-208,-296,17496,28,744,-910
-484,-364,17524,128,560,-928
-280,-212,17276,128,746,-905
-524,-376,17424,304,923,-1154
-256,-212,17676,390,806,-918
-620,-436,17628,353,870,-1122
-632,-504,17708,-108,845,-1185
-404,-356,17412,497,737,-1043
-548,-432,17440,137,662,-821
-464,-152,17368,82,899,-1262
-364,-208,17448,143,669,-991
-428,-324,17580,-12,757,-975
-164,-412,17364,96,634,-797
-492,-364,17600,158,701,-951
-584,-336,17412,224,658,-790
-372,-372,17392,138,541,-895
-588,-224,17432,235,748,-1054
-380,-236,17592,221,707,-1031
-444,-312,17632,177,711,-846
-432,-268,17552,286,580,-802
-720,-324,17684,150,809,-944
-528,-292,17468,141,712,-1044
-432,-416,17648,117,780,-925
-476,-208,17448,179,725,-993
-552,-188,17456,112,775,-996
-524,-464,17544,-57,752,-987
-256,-388,17472,344,731,-842
-332,-380,17572,134,739,-1045
-524,-332,17524,100,803,-1004
-260,-216,17516,239,709,-739
-544,-432,17488,318,648,-907
-484,-540,17384,99,766,-996
